aimed_arrival,line_id,timestamp,realtime,aimed_departure,expected_arrival,expected_departure,quay_id,line_name,transport_mode,expected_delay,timestamp_delay
2025-01-10 06:12:00+01:00,RUT:Line:270,2025-01-10 05:14:07+01:00,True,2025-01-10 06:12:00+01:00,2025-01-10 06:16:11+01:00,2025-01-10 06:16:11+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:04:11,-1 days +23:02:07
2025-01-10 06:13:00+01:00,RUT:Line:160,2025-01-10 05:14:22+01:00,True,2025-01-10 06:13:00+01:00,2025-01-10 06:15:35+01:00,2025-01-10 06:15:35+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:35,-1 days +23:01:22
2025-01-10 06:26:00+01:00,RUT:Line:160,2025-01-10 05:27:42+01:00,True,2025-01-10 06:26:00+01:00,2025-01-10 06:29:00+01:00,2025-01-10 06:29:00+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:00,-1 days +23:01:42
2025-01-10 06:27:00+01:00,RUT:Line:270,2025-01-10 05:29:28+01:00,True,2025-01-10 06:27:00+01:00,2025-01-10 06:31:34+01:00,2025-01-10 06:31:34+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:04:34,-1 days +23:02:28
2025-01-10 06:28:00+01:00,RUT:Line:160,2025-01-10 05:28:58+01:00,True,2025-01-10 06:28:00+01:00,2025-01-10 06:30:14+01:00,2025-01-10 06:30:14+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:14,-1 days +23:00:58
2025-01-10 06:34:00+01:00,RUT:Line:5260,2025-01-10 05:33:30+01:00,True,2025-01-10 06:34:00+01:00,2025-01-10 06:35:47+01:00,2025-01-10 06:35:47+01:00,NSR:Quay:6982,Bødalen - Slemmestad - Holmen - Sandvika- Ullevål,bus,0 days 00:01:47,-1 days +22:59:30
2025-01-10 06:38:00+01:00,RUT:Line:160,2025-01-10 05:38:32+01:00,True,2025-01-10 06:38:00+01:00,2025-01-10 06:40:02+01:00,2025-01-10 06:40:02+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:02,-1 days +23:00:32
2025-01-10 06:41:00+01:00,RUT:Line:160,2025-01-10 05:43:18+01:00,True,2025-01-10 06:41:00+01:00,2025-01-10 06:44:02+01:00,2025-01-10 06:44:02+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:02,-1 days +23:02:18
2025-01-10 06:42:00+01:00,RUT:Line:270,2025-01-10 05:42:48+01:00,True,2025-01-10 06:42:00+01:00,2025-01-10 06:43:53+01:00,2025-01-10 06:43:53+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:01:53,-1 days +23:00:48
2025-01-10 06:48:00+01:00,RUT:Line:160,2025-01-10 05:49:20+01:00,True,2025-01-10 06:48:00+01:00,2025-01-10 06:50:44+01:00,2025-01-10 06:50:44+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:44,-1 days +23:01:20
2025-01-10 06:56:00+01:00,RUT:Line:160,2025-01-10 05:58:08+01:00,True,2025-01-10 06:56:00+01:00,2025-01-10 06:59:15+01:00,2025-01-10 06:59:15+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:15,-1 days +23:02:08
2025-01-10 06:57:00+01:00,RUT:Line:270,2025-01-10 05:58:23+01:00,True,2025-01-10 06:57:00+01:00,2025-01-10 06:59:50+01:00,2025-01-10 06:59:50+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:02:50,-1 days +23:01:23
2025-01-10 06:58:00+01:00,RUT:Line:160,2025-01-10 06:00:08+01:00,True,2025-01-10 06:58:00+01:00,2025-01-10 07:00:35+01:00,2025-01-10 07:00:35+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:35,-1 days +23:02:08
2025-01-10 07:04:00+01:00,RUT:Line:5260,2025-01-10 06:09:13+01:00,True,2025-01-10 07:04:00+01:00,2025-01-10 07:10:55+01:00,2025-01-10 07:10:55+01:00,NSR:Quay:6982,Bødalen - Slemmestad - Holmen - Sandvika- Ullevål,bus,0 days 00:06:55,-1 days +23:05:13
2025-01-10 07:08:00+01:00,RUT:Line:160,2025-01-10 06:09:28+01:00,True,2025-01-10 07:08:00+01:00,2025-01-10 07:10:25+01:00,2025-01-10 07:10:25+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:25,-1 days +23:01:28
2025-01-10 07:11:00+01:00,RUT:Line:160,2025-01-10 06:13:45+01:00,True,2025-01-10 07:11:00+01:00,2025-01-10 07:14:38+01:00,2025-01-10 07:14:38+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:38,-1 days +23:02:45
2025-01-10 07:12:00+01:00,RUT:Line:270,2025-01-10 06:12:44+01:00,True,2025-01-10 07:12:00+01:00,2025-01-10 07:15:17+01:00,2025-01-10 07:15:17+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:03:17,-1 days +23:00:44
2025-01-10 07:18:00+01:00,RUT:Line:160,2025-01-10 06:21:17+01:00,True,2025-01-10 07:18:00+01:00,2025-01-10 07:22:42+01:00,2025-01-10 07:22:42+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:04:42,-1 days +23:03:17
2025-01-10 07:26:00+01:00,RUT:Line:160,2025-01-10 06:28:19+01:00,True,2025-01-10 07:26:00+01:00,2025-01-10 07:29:05+01:00,2025-01-10 07:29:05+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:05,-1 days +23:02:19
2025-01-10 07:27:00+01:00,RUT:Line:270,2025-01-10 06:29:19+01:00,True,2025-01-10 07:27:00+01:00,2025-01-10 07:31:14+01:00,2025-01-10 07:31:14+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:04:14,-1 days +23:02:19
2025-01-10 07:28:00+01:00,RUT:Line:160,2025-01-10 06:30:20+01:00,True,2025-01-10 07:28:00+01:00,2025-01-10 07:30:22+01:00,2025-01-10 07:30:22+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:22,-1 days +23:02:20
2025-01-10 07:34:00+01:00,RUT:Line:5260,2025-01-10 06:36:22+01:00,True,2025-01-10 07:34:00+01:00,2025-01-10 07:38:32+01:00,2025-01-10 07:38:32+01:00,NSR:Quay:6982,Bødalen - Slemmestad - Holmen - Sandvika- Ullevål,bus,0 days 00:04:32,-1 days +23:02:22
2025-01-10 07:36:00+01:00,RUT:Line:160,2025-01-10 06:37:37+01:00,True,2025-01-10 07:36:00+01:00,2025-01-10 07:38:36+01:00,2025-01-10 07:38:36+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:36,-1 days +23:01:37
2025-01-10 07:38:00+01:00,RUT:Line:160,2025-01-10 06:41:08+01:00,True,2025-01-10 07:38:00+01:00,2025-01-10 07:41:45+01:00,2025-01-10 07:41:45+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:03:45,-1 days +23:03:08
2025-01-10 07:42:00+01:00,RUT:Line:270,2025-01-10 06:47:25+01:00,True,2025-01-10 07:42:00+01:00,2025-01-10 07:48:57+01:00,2025-01-10 07:48:57+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:06:57,-1 days +23:05:25
2025-01-10 07:46:00+01:00,RUT:Line:160,2025-01-10 06:47:55+01:00,True,2025-01-10 07:46:00+01:00,2025-01-10 07:48:14+01:00,2025-01-10 07:48:14+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:14,-1 days +23:01:55
2025-01-10 07:48:00+01:00,RUT:Line:160,2025-01-10 06:50:11+01:00,True,2025-01-10 07:48:00+01:00,2025-01-10 07:50:14+01:00,2025-01-10 07:50:14+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:14,-1 days +23:02:11
2025-01-10 07:56:00+01:00,RUT:Line:160,2025-01-10 06:59:01+01:00,True,2025-01-10 07:56:00+01:00,2025-01-10 07:59:53+01:00,2025-01-10 07:59:53+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:53,-1 days +23:03:01
2025-01-10 07:57:00+01:00,RUT:Line:270,2025-01-10 07:02:32+01:00,True,2025-01-10 07:57:00+01:00,2025-01-10 08:04:41+01:00,2025-01-10 08:04:41+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:07:41,-1 days +23:05:32
2025-01-10 07:58:00+01:00,RUT:Line:160,2025-01-10 07:01:47+01:00,True,2025-01-10 07:58:00+01:00,2025-01-10 08:02:27+01:00,2025-01-10 08:02:27+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:04:27,-1 days +23:03:47
2025-01-10 08:04:00+01:00,RUT:Line:5260,2025-01-10 07:09:04+01:00,True,2025-01-10 08:04:00+01:00,2025-01-10 08:10:42+01:00,2025-01-10 08:10:42+01:00,NSR:Quay:6982,Bødalen - Slemmestad - Holmen - Sandvika- Ullevål,bus,0 days 00:06:42,-1 days +23:05:04
2025-01-10 08:06:00+01:00,RUT:Line:160,2025-01-10 07:10:20+01:00,True,2025-01-10 08:06:00+01:00,2025-01-10 08:11:59+01:00,2025-01-10 08:11:59+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:05:59,-1 days +23:04:20
2025-01-10 08:08:00+01:00,RUT:Line:160,2025-01-10 07:11:05+01:00,True,2025-01-10 08:08:00+01:00,2025-01-10 08:11:34+01:00,2025-01-10 08:11:34+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:03:34,-1 days +23:03:05
2025-01-10 08:12:00+01:00,RUT:Line:270,2025-01-10 07:16:37+01:00,True,2025-01-10 08:12:00+01:00,2025-01-10 08:19:56+01:00,2025-01-10 08:19:56+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:07:56,-1 days +23:04:37
2025-01-10 08:16:00+01:00,RUT:Line:160,2025-01-10 07:19:08+01:00,True,2025-01-10 08:16:00+01:00,2025-01-10 08:19:42+01:00,2025-01-10 08:19:42+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:42,-1 days +23:03:08
2025-01-10 08:18:00+01:00,RUT:Line:160,2025-01-10 07:25:09+01:00,True,2025-01-10 08:18:00+01:00,2025-01-10 08:25:16+01:00,2025-01-10 08:25:16+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:07:16,-1 days +23:07:09
2025-01-10 08:26:00+01:00,RUT:Line:160,2025-01-10 07:28:10+01:00,True,2025-01-10 08:26:00+01:00,2025-01-10 08:28:58+01:00,2025-01-10 08:28:58+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:58,-1 days +23:02:10
2025-01-10 08:27:00+01:00,RUT:Line:270,2025-01-10 07:36:12+01:00,True,2025-01-10 08:27:00+01:00,2025-01-10 08:37:04+01:00,2025-01-10 08:37:04+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:10:04,-1 days +23:09:12
2025-01-10 08:28:00+01:00,RUT:Line:160,2025-01-10 07:38:13+01:00,True,2025-01-10 08:28:00+01:00,2025-01-10 08:38:16+01:00,2025-01-10 08:38:16+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:10:16,-1 days +23:10:13
2025-01-10 08:34:00+01:00,RUT:Line:5260,2025-01-10 07:44:45+01:00,True,2025-01-10 08:34:00+01:00,2025-01-10 08:46:57+01:00,2025-01-10 08:46:57+01:00,NSR:Quay:6982,Bødalen - Slemmestad - Holmen - Sandvika- Ullevål,bus,0 days 00:12:57,-1 days +23:10:45
2025-01-10 08:36:00+01:00,RUT:Line:160,2025-01-10 07:39:58+01:00,True,2025-01-10 08:36:00+01:00,2025-01-10 08:40:33+01:00,2025-01-10 08:40:33+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:04:33,-1 days +23:03:58
2025-01-10 08:38:00+01:00,RUT:Line:160,2025-01-10 07:42:29+01:00,True,2025-01-10 08:38:00+01:00,2025-01-10 08:42:49+01:00,2025-01-10 08:42:49+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:04:49,-1 days +23:04:29
2025-01-10 08:42:00+01:00,RUT:Line:270,2025-01-10 07:49:01+01:00,True,2025-01-10 08:42:00+01:00,2025-01-10 08:49:56+01:00,2025-01-10 08:49:56+01:00,NSR:Quay:6982,Asker - Sandvika (- Fornebu),bus,0 days 00:07:56,-1 days +23:07:01
2025-01-10 08:46:00+01:00,RUT:Line:160,2025-01-10 07:50:01+01:00,True,2025-01-10 08:46:00+01:00,2025-01-10 08:50:56+01:00,2025-01-10 08:50:56+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:04:56,-1 days +23:04:01
2025-01-10 08:48:00+01:00,RUT:Line:160,2025-01-10 07:49:46+01:00,True,2025-01-10 08:48:00+01:00,2025-01-10 08:51:26+01:00,2025-01-10 08:51:26+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:03:26,-1 days +23:01:46
2025-01-10 08:56:00+01:00,RUT:Line:160,2025-01-10 07:59:34+01:00,True,2025-01-10 08:56:00+01:00,2025-01-10 08:59:58+01:00,2025-01-10 08:59:58+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:58,-1 days +23:03:34
2025-01-10 08:58:00+01:00,RUT:Line:160,2025-01-10 08:01:04+01:00,True,2025-01-10 08:58:00+01:00,2025-01-10 09:01:18+01:00,2025-01-10 09:01:18+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:03:18,-1 days +23:03:04
2025-01-10 09:06:00+01:00,RUT:Line:160,2025-01-10 08:10:22+01:00,True,2025-01-10 09:06:00+01:00,2025-01-10 09:11:11+01:00,2025-01-10 09:11:11+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:05:11,-1 days +23:04:22
2025-01-10 09:08:00+01:00,RUT:Line:160,2025-01-10 08:12:38+01:00,True,2025-01-10 09:08:00+01:00,2025-01-10 09:13:11+01:00,2025-01-10 09:13:11+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:05:11,-1 days +23:04:38
2025-01-10 09:16:00+01:00,RUT:Line:160,2025-01-10 08:20:11+01:00,True,2025-01-10 09:16:00+01:00,2025-01-10 09:21:23+01:00,2025-01-10 09:21:23+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:05:23,-1 days +23:04:11
2025-01-10 09:18:00+01:00,RUT:Line:160,2025-01-10 08:19:11+01:00,True,2025-01-10 09:18:00+01:00,2025-01-10 09:20:53+01:00,2025-01-10 09:20:53+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:53,-1 days +23:01:11
2025-01-10 09:26:00+01:00,RUT:Line:160,2025-01-10 08:29:00+01:00,True,2025-01-10 09:26:00+01:00,2025-01-10 09:29:58+01:00,2025-01-10 09:29:58+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:58,-1 days +23:03:00
2025-01-10 09:28:00+01:00,RUT:Line:160,2025-01-10 08:28:45+01:00,True,2025-01-10 09:28:00+01:00,2025-01-10 09:30:10+01:00,2025-01-10 09:30:10+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:10,-1 days +23:00:45
2025-01-10 09:36:00+01:00,RUT:Line:160,2025-01-10 08:40:34+01:00,True,2025-01-10 09:36:00+01:00,2025-01-10 09:41:01+01:00,2025-01-10 09:41:01+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:05:01,-1 days +23:04:34
2025-01-10 09:38:00+01:00,RUT:Line:160,2025-01-10 08:40:03+01:00,True,2025-01-10 09:38:00+01:00,2025-01-10 09:41:05+01:00,2025-01-10 09:41:05+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:03:05,-1 days +23:02:03
2025-01-10 09:46:00+01:00,RUT:Line:160,2025-01-10 08:47:51+01:00,True,2025-01-10 09:46:00+01:00,2025-01-10 09:49:19+01:00,2025-01-10 09:49:19+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:19,-1 days +23:01:51
2025-01-10 09:48:00+01:00,RUT:Line:160,2025-01-10 08:49:21+01:00,True,2025-01-10 09:48:00+01:00,2025-01-10 09:50:19+01:00,2025-01-10 09:50:19+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:19,-1 days +23:01:21
2025-01-10 09:56:00+01:00,RUT:Line:160,2025-01-10 08:57:23+01:00,True,2025-01-10 09:56:00+01:00,2025-01-10 09:58:03+01:00,2025-01-10 09:58:03+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:03,-1 days +23:01:23
2025-01-10 09:58:00+01:00,RUT:Line:160,2025-01-10 08:58:39+01:00,True,2025-01-10 09:58:00+01:00,2025-01-10 10:00:01+01:00,2025-01-10 10:00:01+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:01,-1 days +23:00:39
2025-01-10 10:06:00+01:00,RUT:Line:160,2025-01-10 08:59:54+01:00,True,2025-01-10 10:06:00+01:00,2025-01-10 10:09:03+01:00,2025-01-10 10:09:03+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:03,-1 days +22:53:54
2025-01-10 10:08:00+01:00,RUT:Line:160,2025-01-10 08:59:54+01:00,True,2025-01-10 10:08:00+01:00,2025-01-10 10:10:58+01:00,2025-01-10 10:10:58+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:58,-1 days +22:51:54
2025-01-10 10:16:00+01:00,RUT:Line:160,2025-01-10 08:59:54+01:00,True,2025-01-10 10:16:00+01:00,2025-01-10 10:16:40+01:00,2025-01-10 10:16:40+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:00:40,-1 days +22:43:54
2025-01-10 10:18:00+01:00,RUT:Line:160,2025-01-10 08:59:54+01:00,True,2025-01-10 10:18:00+01:00,2025-01-10 10:18:00+01:00,2025-01-10 10:18:00+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:00:00,-1 days +22:41:54
2025-01-10 10:26:00+01:00,RUT:Line:160,2025-01-10 08:59:54+01:00,True,2025-01-10 10:26:00+01:00,2025-01-10 10:26:00+01:00,2025-01-10 10:26:00+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:00:00,-1 days +22:33:54
2025-01-10 10:28:00+01:00,RUT:Line:160,2025-01-10 08:59:54+01:00,True,2025-01-10 10:28:00+01:00,2025-01-10 10:28:01+01:00,2025-01-10 10:28:01+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:00:01,-1 days +22:31:54
2025-01-10 10:36:00+01:00,RUT:Line:160,2025-01-10 08:59:54+01:00,True,2025-01-10 10:36:00+01:00,2025-01-10 10:36:00+01:00,2025-01-10 10:36:00+01:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:00:00,-1 days +22:23:54
2025-01-10 10:38:00+01:00,RUT:Line:160,2025-01-10 08:59:54+01:00,True,2025-01-10 10:38:00+01:00,2025-01-10 10:38:00+01:00,2025-01-10 10:38:00+01:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:00:00,-1 days +22:21:54
